,,,
Thomson Prtg - 600330,,,
"Saturday, April 01, 2023",,,
"Blazer Digital-92 Brightness, FSC, SFI, PEFC Certified",,,
Size,M Wgt,Sheets per Ctn/Skid,REF#
70# Gloss Book  CALIPER 3.2,,,
12x18,32,1800,10004012
13x19,36,1800,10004018
29.5 x 20.75,90,"10,000",10004022
80# Gloss Book  CALIPER 3.6,,,
11x17,31,1500,133517
12x18,36,1500,133461
12x18,36,"32,000",10004024
13x19,42,1500,133462
29.5 x 20.75,103,"8,000",10000416
100# Gloss Book  CALIPER 4.7,,,
11x17,39,1500,133518
12x18,45,1000,133465
12x18,45,"25,000",10004026
13x19,52,1000,133466
29.5 x 20.75,129,"7,000",10000417
65# Gloss Cover  CALIPER 6.0,,,
18x12,54,800,10027072
19x13,62,800,10027073
20.75 x 29.5,153,"5,500",10039835
80# Gloss Cover  CALIPER 7.3,,,
17x11,58,750,133521
18x12,66,750,133477
18x12,66,"15,000",10004035
19x13,76,750,133482
20.75 x 29.5,188,"4,000",10000420
100# Gloss Cover  CALIPER 9.3,,,
17x11,72,500,133522
18x12,83,500,133486
18x12,83,"15,000",10004036
19x13,95,500,133492
20.75 x 29.5,235,"3,000",10000421
110# Gloss Cover  CALIPER 10.4,,,
18x12,91,600,133494
18x12,91,"11,000",10004038
19x13,105,600,133497
20.75 x 29.5,259,"3,000",10001862
130# Gloss Cover  CALIPER 13.0,,,
18x12,108,400,10001900
19x13,124,400,10001901
20.75 x 29.5,306,"2,500",10001864
70# Satin Book  CALIPER 3.9,,,
12x18,32,1800,10004029
13x19,36,1800,10004030
29.5 x 20.75,90,"10,000",10004032
80# Satin Book  CALIPER  4.2,,,
11x17,31,1500,133519
12x18,36,1500,133470
12x18,36,"32,000",10004033
13x19,42,1500,133471
29.5 x 20.75,103,"6,500",10000418
100# Satin Book  CALIPER  5.5,,,
11x17,39,1500,133520
12x18,45,1200,133473
12x18,45,"25,000",10004034
13x19,52,1000,133474
29.5 x 20.75,129,"5,500",10000419
65# Satin Cover  CALIPER 7.1,,,
18x12,54,800,10027074
19x13,62,800,10027075
20.75 x 29.5,153,"4,500",10039899
80# Satin Cover  CALIPER 9.3,,,
17x11,58,750,133523
18x12,66,750,133498
18x12,66,"15,000",10004040
19x13,76,750,133509
20.75 x 29.5,188,"3,000",10000422
100# Satin Cover  CALIPER 11.3,,,
17x11,72,500,133525
18x12,83,500,133512
18x12,83,"14,000",10004041
19x13,95,500,133513
20.75 x 29.5,235,"2,500",10000423
110# Satin Cover  CALIPER 12.6,,,
18x12,91,600,133515
18x12,91,"11,000",10004042
19x13,105,600,133516
20.75 x 29.5,259,"2,500",10001865
130# Satin Cover  CALIPER 15.3,,,
18x12,108,400,10001899
19x13,124,400,10000949
20.75 x 29.5,306,"2,000",10001866
Price/Cwt,,,
70# Gloss Book,,,
80-100# Gloss Book,,,
80-130# Gloss Cover,,,
70# Satin Book ,,,
80-100# Satin Book,,,
80-130# Satin Cover,,,
