,,,
Thomson Prtg. - 600330,,,
"Saturday, April 01, 2023",,,
Omnilux Opaque Digital,,,
Size,M Wgt,CTNS,REF#
50# Opaque Book (.004 target caliper),,,
8.5 x 11,9.84,5000,10072981
11 x 17,19.68,2500,10073039
12 x 18,22.72,2000,10073040
60# Opaque Book (.0049 target caliper),,,
8.5 x 11,11.8,5000,10072982
11 x 17,23.62,2500,10073094
12 x 18,27.28,2000,10073095
13 x 19,31.2,2000,10073096
70# Opaque Book (.0054 target caliper),,,
8.5 x 11,13.78,4000,10073097
11 x 17,27.54,2000,10073099
12 x 18,31.82,1500,10073100
13 x 19,36.4,1500,10073101
80# Opaque Book (.006 target caliper),,,
8.5 x 11,15.75,4000,10075154
11 x 17,31.5,2000,10075155
12 x 18,36.4,1500,10075156
13 x 19,41.6,1500,10075158
65# Opaque Cover (.0088 target caliper),,,
8.5 x 11,23.38,2500,10072984
17 x 11,46.75,1250,10073023
18 x 12,54,1000,10073024
19 x 13,62,1000,10073025
80# Opaque Cover (.011 target caliper),,,
8.5 x 11,28.76,2000,10073026
17 x 11,57.52,1000,10073027
18 x 12,66.46,750,10073029
19 x 13,76,750,10073038
100# Opaque Cover (.014 target caliper),,,
17 x 11,71.92,750,10075193
18 x 12,83.06,625,10075194
19 x 13,95,625,10075195
65# Opaque Cover (.0088 target caliper)  HP INDIGO,,,
18 x 12,54,1000,10075189
19 x 13,62,1000,10075190
80# Opaque Cover (.011 target caliper) HP INDIGO,,,
18 x 12,66.46,750,10075144
19 x 13,76,750,10075145
Price/Cwt,,,
50# Digital (8.5x11),,,
50# Digital (Support Sizes),,,
60-80# Digital (8.5x11),,,
60-80# Digital (Support Sizes),,,
65-100# Digital Cover (8.5x11),,,
65-100# Digital Cover (Support Sizes),,,
65-80# Digital Cover (HP INDIGO),,,
